Name,Subtitle,Acceleration,TopSpeed,Range,Efficiency,FastChargeSpeed,Drive,NumberofSeats,PriceinIndia,PriceinUK
Opel Ampera-e ,Battery Electric Vehicle |       58 kWh ,7.3 sec,150 km/h,335 km,173 Wh/km,210 km/h,Front Wheel Drive,5,3500000,"$35,000"
Renault Kangoo Maxi ZE 33,Battery Electric Vehicle |       31 kWh ,22.4 sec,130 km/h,160 km,194 Wh/km,-,Front Wheel Drive,5,2850000,"$28,500"
Nissan Leaf ,Battery Electric Vehicle |       36 kWh ,7.9 sec,144 km/h,220 km,164 Wh/km,230 km/h,Front Wheel Drive,5,3200000,"$32,000"
Audi e-tron Sportback 55 quattro,Battery Electric Vehicle |       86.5 kWh,5.7 sec,200 km/h,375 km,231 Wh/km,600 km/h,All Wheel Drive,5,7500000,"$75,000"
Porsche Taycan Turbo S,Battery Electric Vehicle |       83.7 kWh,2.8 sec,260 km/h,390 km,215 Wh/km,860 km/h,All Wheel Drive,4,12000000,"$120,000"
Nissan e-NV200 Evalia ,Battery Electric Vehicle |       36 kWh ,14.0 sec,123 km/h,165 km,218 Wh/km,170 km/h,Front Wheel Drive,7,4050000,"$40,500"
Volkswagen ID.3 Pure Performance,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164 Wh/km,260 km/h,Rear Wheel Drive,5,3700000,"$37,000"
BMW iX3 ,Battery Electric Vehicle |       74 kWh,6.8 sec,180 km/h,385 km,192 Wh/km,520 km/h,Rear Wheel Drive,5,5200000,"$52,000"
Nissan Leaf e+,Battery Electric Vehicle |       56 kWh ,7.3 sec,157 km/h,325 km,172 Wh/km,390 km/h,Front Wheel Drive,5,3600000,"$36,000"
BMW i3 120 Ah,Battery Electric Vehicle |       37.9 kWh,7.3 sec,150 km/h,235 km,161 Wh/km,270 km/h,Rear Wheel Drive,4,4100000,"$41,000"
Mercedes EQA 250,Battery Electric Vehicle |       66.5 kWh,8.9 sec,160 km/h,355 km,187 Wh/km,420 km/h,Front Wheel Drive,5,4500000,"$45,000"
DS 3 Crossback E-Tense,Battery Electric Vehicle |       45 kWh ,8.7 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,3800000,"$38,000"
BMW i3s 120 Ah,Battery Electric Vehicle |       37.9 kWh,6.9 sec,160 km/h,230 km,165 Wh/km,260 km/h,Rear Wheel Drive,4,4300000,"$43,000"
Sono Sion ,Battery Electric Vehicle |       47 kWh ,9.0 sec,140 km/h,260 km,181 Wh/km,310 km/h,Front Wheel Drive,5,3000000,"$30,000"
Audi e-tron GT RS,Battery Electric Vehicle |       85 kWh,3.3 sec,250 km/h,405 km,210 Wh/km,810 km/h,All Wheel Drive,4,9500000,"$95,000"
Kia e-Soul 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,370 km,173 Wh/km,350 km/h,Front Wheel Drive,5,4200000,"$42,000"
Renault Zoe ZE50 R110,Battery Electric Vehicle |       52 kWh,11.4 sec,135 km/h,315 km,165 Wh/km,230 km/h,Front Wheel Drive,5,3100000,"$31,000"
Hyundai IONIQ Electric,Battery Electric Vehicle |       38.3 kWh,9.7 sec,165 km/h,250 km,153 Wh/km,220 km/h,Front Wheel Drive,5,3900000,"$39,000"
Lightyear One ,Battery Electric Vehicle |       60 kWh ,10.0 sec,150 km/h,575 km,104 Wh/km,540 km/h,All Wheel Drive,5,15000000,"$150,000"
Tesla Roadster ,Battery Electric Vehicle |       200 kWh ,2.1 sec,410 km/h,970 km,206 Wh/km,920 km/h,All Wheel Drive,4,20000000,"$200,000"
Peugeot e-208 ,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,3300000,"$33,000"
Honda e ,Battery Electric Vehicle |       28.5 kWh ,9.0 sec,145 km/h,170 km,168 Wh/km,190 km/h,Rear Wheel Drive,4,3650000,"$36,500"
CUPRA Born 110 kW - 55 kWh,Battery Electric Vehicle |       45 kWh,8.9 sec,160 km/h,275 km,164 Wh/km,440 km/h,Rear Wheel Drive,5,4000000,"$40,000"
Audi Q4 e-tron 35,Battery Electric Vehicle |       51.5 kWh,9.0 sec,160 km/h,280 km,184 Wh/km,390 km/h,Rear Wheel Drive,5,4400000,"$44,000"
Tesla Model Y Long Range Dual Motor,Battery Electric Vehicle |       76 kWh ,5.1 sec,217 km/h,450 km,169 Wh/km,750 km/h,All Wheel Drive,7,5500000,"$55,000"
Tesla Model Y Performance,Battery Electric Vehicle |       76 kWh ,3.7 sec,241 km/h,430 km,177 Wh/km,720 km/h,All Wheel Drive,7,6500000,"$65,000"
Porsche Taycan 4 Cross Turismo,Battery Electric Vehicle |       83.7 kWh,5.1 sec,220 km/h,405 km,207 Wh/km,850 km/h,All Wheel Drive,4,11000000,"$110,000"
Skoda Enyaq iV 50,Battery Electric Vehicle |       52 kWh,11.3 sec,160 km/h,295 km,176 Wh/km,240 km/h,Rear Wheel Drive,5,4200000,"$42,000"
Volkswagen e-Up! ,Battery Electric Vehicle |       32.3 kWh,11.9 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,2800000,"$28,000"
SEAT Mii Electric ,Battery Electric Vehicle |       32.3 kWh,12.3 sec,130 km/h,205 km,158 Wh/km,170 km/h,Front Wheel Drive,4,2500000,"$25,000"
Opel Corsa-e ,Battery Electric Vehicle |       45 kWh ,8.1 sec,150 km/h,275 km,164 Wh/km,370 km/h,Front Wheel Drive,5,3400000,"$34,000"
MG ZS EV,Battery Electric Vehicle |       42.5 kWh ,8.2 sec,140 km/h,220 km,193 Wh/km,260 km/h,Front Wheel Drive,5,3000000,"$30,000"
Volkswagen ID.3 Pro,Battery Electric Vehicle |       58 kWh,9.6 sec,160 km/h,350 km,166 Wh/km,440 km/h,Rear Wheel Drive,5,3900000,"$39,000"
Volkswagen ID.3 Pro S,Battery Electric Vehicle |       77 kWh,7.9 sec,160 km/h,450 km,171 Wh/km,550 km/h,Rear Wheel Drive,4,4200000,"$42,000"
Hyundai Kona Electric 64 kWh,Battery Electric Vehicle |       64 kWh,7.9 sec,167 km/h,395 km,162 Wh/km,370 km/h,Front Wheel Drive,5,4500000,"$45,000"
Renault Zoe ZE50 R135,Battery Electric Vehicle |       52 kWh,9.5 sec,140 km/h,310 km,168 Wh/km,230 km/h,Front Wheel Drive,5,3200000,"$32,000"
Peugeot e-2008 SUV ,Battery Electric Vehicle |       45 kWh ,8.5 sec,150 km/h,250 km,180 Wh/km,330 km/h,Front Wheel Drive,5,3800000,"$38,000"
Audi e-tron 50 quattro,Battery Electric Vehicle |       64.7 kWh,6.8 sec,190 km/h,280 km,231 Wh/km,470 km/h,All Wheel Drive,5,6000000,"$60,000"
